FIPStxt,state,county,poverty,PCTPOV017_2016,PCTPOV517_2016,PCTPOV05_2016,death,migration,POP_ESTIMATE_2016,less_than_high_school,high_school,some_college,education,,,,,,,,,,,,,,,,,,,,
00000,US,United States,14.0,20.0,18.0,21.0,8.5,3.5,"323,405,935",13.0,27.5,29.1,30.3,,,,,,,,,,,,,,,,,,,,
01000,AL,Alabama,17.0,25.0,24.0,27.0,10.7,0.6,"4,860,545",15.2,31.0,29.8,24.0,,,,,,,,,,,,,,,,,,,,
01001,AL,Autauga County,14.0,19.0,18.0,,9.2,5.1,"55,278",12.4,34.3,28.7,24.6,,,,,,,,,,,,,,,,,,,,
01003,AL,Baldwin County,12.0,18.0,17.0,,10.0,21.3,"207,509",10.0,28.7,31.8,29.5,,,,,,,,,,,,,,,,,,,,
01005,AL,Barbour County,30.0,40.0,37.0,,10.3,-18.9,"25,774",26.2,34.9,26.0,12.9,,,,,,,,,,,,,,,,,,,,
01007,AL,Bibb County,20.0,28.0,27.0,,9.2,-0.5,"22,633",19.3,41.8,26.9,12.0,,,,,,,,,,,,,,,,,,,,
01009,AL,Blount County,14.0,19.0,18.0,,11.5,-0.7,"57,562",20.0,32.9,34.0,13.1,,,,,,,,,,,,,,,,,,,,
01011,AL,Bullock County,33.0,46.0,44.0,,11.2,-0.8,"10,441",33.4,34.1,22.2,10.3,,,,,,,,,,,,,,,,,,,,
01013,AL,Butler County,25.0,37.0,34.0,,13.3,-7.3,"19,965",18.9,39.9,25.1,16.1,,,,,,,,,,,,,,,,,,,,
01015,AL,Calhoun County,17.0,26.0,24.0,,12.6,-3.6,"114,980",17.7,32.1,32.6,17.7,,,,,,,,,,,,,,,,,,,,
01017,AL,Chambers County,20.0,33.0,32.0,,13.2,-5.6,"33,717",19.7,39.4,28.4,12.5,,,,,,,,,,,,,,,,,,,,
01019,AL,Cherokee County,17.0,28.0,25.0,,13.8,5.7,"25,766",18.7,36.0,31.4,14.0,,,,,,,,,,,,,,,,,,,,
01021,AL,Chilton County,18.0,26.0,25.0,,10.6,1.6,"43,830",19.9,41.3,24.0,14.9,,,,,,,,,,,,,,,,,,,,
01023,AL,Choctaw County,23.0,33.0,30.0,,12.7,-11.3,"13,050",21.1,37.3,29.6,12.0,,,,,,,,,,,,,,,,,,,,
01025,AL,Clarke County,29.0,39.0,34.0,,11.3,-13.9,"24,350",19.0,45.1,23.8,12.1,,,,,,,,,,,,,,,,,,,,
01027,AL,Clay County,19.0,28.0,26.0,,11.9,1.7,"13,410",25.4,34.6,29.0,11.1,,,,,,,,,,,,,,,,,,,,
01029,AL,Cleburne County,17.0,25.0,23.0,,13.2,-1.1,"14,873",25.8,38.0,24.7,11.5,,,,,,,,,,,,,,,,,,,,
01031,AL,Coffee County,14.0,21.0,19.0,,9.4,1.4,"51,217",14.9,29.3,32.1,23.7,,,,,,,,,,,,,,,,,,,,
