FIPStxt,state,county,poverty,PCTPOV017_2016,PCTPOV517_2016,PCTPOV05_2016,death,migration,POP_ESTIMATE_2016,less_than_high_school,high_school,some_college,education
47129,TN,Morgan County,23,29,27,,11.3,12.4,"21,724",11.5,33.6,29.4,25.5
,,,,,,,,,,,,,
39085,OH,Lake County,9,13,12,,10.5,-0.5,"229,270",8.7,44.3,30.9,16
48023,TX,Baylor County,18,29,26,,15.4,1.6,"3,638",16.8,28.4,34.6,20.2
48487,TX,Wilbarger County,16,25,24,,10.6,-14.1,"12,894",17.4,36.6,26.5,19.5
1007,AL,Bibb County,20,28,27,,9.2,-0.5,"22,633",19.3,41.8,26.9,12
45025,SC,Chesterfield County,21,31,29,,11.6,0.7,"46,170",22.5,28.6,29.9,19.1
46123,SD,Tripp County,17,24,22,,13.2,12.5,"5,490",10.8,39.5,30.5,19.2
37069,NC,Franklin County,15,22,20,,8.6,13.2,"64,659",12.8,29,36.3,21.9
,,,,,,,,,,,,,
48345,TX,Motley County,18,32,28,,12.1,27.6,"1,172",16.6,24.5,32.7,26.2
18155,IN,Switzerland County,17,28,26,,8.9,0.3,"10,647",12.3,30.9,28.6,28.2
22117,LA,Washington Parish,28,38,36,,13.4,0,"46,424",11.2,26.6,30.9,31.3
20001,KS,Allen County,16,22,20,,12.9,0.1,"12,647",9.4,32.5,37.5,20.6
19167,IA,Sioux County,7,8,7,,7.1,-0.9,"34,891",8.3,25,31.2,35.6
48413,TX,Schleicher County,17,26,23,,5.8,-44.4,"3,064",8.1,22.2,31.8,38
19113,IA,Linn County,10,13,12,,7.9,3.9,"221,900",7.6,40.8,33.8,17.9
54099,WV,Wayne County,22,29,25,,12.7,-9.6,"40,680",8,38.3,28.7,25
1033,AL,Colbert County,17,25,23,,13.5,1,"54,327",16.6,34.8,30.1,18.5
51117,VA,Mecklenburg County,16,26,24,,14.5,0.8,"30,786",11.7,38.1,31.6,18.6
30111,MT,Yellowstone County,9,11,9,,9.7,5.3,"157,648",6,36.8,32.5,24.7
38037,ND,Grant County,16,19,18,,7.9,-6.7,"2,396",12.3,27.3,32.5,28
30000,MT,Montana,13,16,15,18,9.3,7.2,"1,038,656",14.2,35.9,31.7,18.2
48465,TX,Val Verde County,21,30,30,,6.9,-9.9,"48,953",27.9,29.1,27.9,15.2
53069,WA,Wahkiakum County,13,25,22,,7.6,41.5,"4,176",11.6,32.5,38.9,17
36071,NY,Orange County,13,19,17,,7.2,0.5,"379,915",9.6,24.5,29.2,36.7
21113,KY,Jessamine County,16,21,21,,8.5,4.3,"52,255",25.4,41.6,21.5,11.4
48065,TX,Carson County,9,12,11,,7.6,14.5,"6,107",14.9,36.6,30,18.5
36045,NY,Jefferson County,15,22,21,,8,-28.6,"114,084",9.2,28.2,30.4,32.2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
31095,NE,Jefferson County,11,16,14,,14,-3.3,"7,178",16.8,30.9,33.3,19
26003,MI,Alger County,14,20,18,,13,-7.8,"9,115",5.3,25,27.6,42
47113,TN,Madison County,19,27,26,,10.6,-2.5,"97,514",24.5,45,21.9,8.6
37153,NC,Richmond County,25,38,36,,12.4,-8.1,"45,054",13.3,31.1,36.4,19.2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
46097,SD,Miner County,12,17,15,,11.2,14.4,"2,241",6,31.2,31.2,31.6
,,,,,,,,,,,,,
22087,LA,St. Bernard Parish,24,29,29,,7.9,1.6,"45,814",15,33.5,27.4,24.2
,,,,,,,,,,,,,
1079,AL,Lawrence County,17,24,23,,11.6,3.6,"33,232",22.5,39.9,27.4,10.3
,,,,,,,,,,,,,
51036,VA,Charles City County,12,20,20,,11.2,2.1,"7,023",10.8,37.7,35.3,16.2
,,,,,,,,,,,,,
37177,NC,Tyrrell County,27,38,38,,8.6,-26.9,"4,039",19,31.9,32.4,16.7
1089,AL,Madison County,14,18,16,,9,7.3,"356,312",9.2,20.9,29.2,40.7
51610,VA,Falls Church city,4,3,3,,4.3,-12.8,"13,868",16.4,33.9,26.2,23.4
51730,VA,Petersburg city,25,37,43,,14.5,-13.3,"31,850",14.9,26.2,22.7,36.2
35055,NM,Taos County,22,33,33,,9.5,6.1,"32,857",15.8,33,33.1,18.1
1097,AL,Mobile County,20,30,30,,10.8,-2.1,"414,852",14.2,32.6,30.7,22.5
55078,WI,Menominee County,27,41,41,,13.3,-2.9,"4,537",10,32.3,33,24.6
36061,NY,New York County,17,24,25,,6.5,-1.2,"1,662,164",9.8,34,35.4,20.8
40149,OK,Washita County,16,24,23,,12.3,-24,"11,474",16.2,35.8,34.1,13.9
48471,TX,Walker County,22,24,24,,7.5,11.9,"71,701",16.3,40.2,31.3,12.2
17127,IL,Massac County,21,28,25,,13.7,-4.6,"14,469",4.4,25.5,25.6,44.5
50021,VT,Rutland County,13,17,15,,11.4,-3.8,"59,172",9.4,36.4,26.6,27.7
1111,AL,Randolph County,22,35,31,,13.3,-1.2,"22,498",22.7,36.4,25.5,15.4
,,,,,,,,,,,,,
46061,SD,Hanson County,9,16,15,,3.2,-6.5,"3,390",11.1,33,33,22.9
54013,WV,Calhoun County,22,30,28,,11.5,-10.5,"7,367",8.8,23.8,34.8,32.6
31029,NE,Chase County,9,12,10,,11.3,-10.3,"3,954",8.5,32.8,43,15.7
42105,PA,Potter County,14,24,22,,12.3,-4.7,"16,925",10.5,36.5,29.5,23.6
34021,NJ,Mercer County,11,15,14,,7.7,-1.8,"373,660",7.1,29.1,27.4,36.4
,,,,,,,,,,,,,
22045,LA,Iberia Parish,23,33,33,,10.2,-14.8,"73,077",18.7,40.2,27.6,13.5
31139,NE,Pierce County,10,12,11,,7.1,-11.1,"7,156",13.3,31.8,36,19
56017,WY,Hot Springs County,14,18,15,,13.2,-7.5,"4,669",7.7,38.9,33.1,20.4
54109,WV,Wyoming County,24,31,28,,16.6,-12.1,"21,753",17.2,41,27.1,14.8
,,,,,,,,,,,,,
2013,AK,Aleutians East Borough,15,14,11,,1.8,-9.3,"3,324",,,,
,,,,,,,,,,,,,
35009,NM,Curry County,19,27,25,,7.7,-7.7,"50,168",14.2,29.5,22.9,33.4
28011,MS,Bolivar County,35,42,42,,12.8,-19.5,"32,634",9.4,36.8,37.5,16.2
48233,TX,Hutchinson County,13,19,18,,11.3,-12.8,"21,570",19.7,33.5,30.8,16
22081,LA,Red River Parish,26,36,35,,11.9,-9.8,"8,634",19.7,44.2,22.4,13.7
26127,MI,Oceana County,18,26,23,,10,-2,"26,281",12.3,41.5,32.8,13.4
,,,,,,,,,,,,,
2100,AK,Haines Borough,10,17,14,,4,4.4,"2,531",5.6,22.2,38.8,33.4
46065,SD,Hughes County,9,12,11,,8.8,-3.2,"17,577",7.8,33.8,32.3,26.1
38025,ND,Dunn County,10,12,11,,5.8,-53,"4,373",9.2,32.1,37.5,21.3
21101,KY,Henderson County,17,25,23,,11,-3.7,"46,244",23,43.5,23.2,10.3
46105,SD,Perkins County,13,17,15,,10.4,-5,"2,966",11,32.1,34.3,22.6
39011,OH,Auglaize County,9,12,10,,11,-0.1,"45,797",15.2,33,30.5,21.3
36019,NY,Clinton County,14,18,17,,8.6,-1.5,"80,973",11,37.8,30.8,20.5
49013,UT,Duchesne County,14,14,14,,6.3,-35.9,"20,315",40.8,27.8,22.2,9.1
31135,NE,Perkins County,11,15,14,,8.2,-17.1,"2,906",11.7,29.9,38.7,19.7
55079,WI,Milwaukee County,20,28,27,,8.5,-9.4,"955,369",7.9,42.4,32.8,16.9
2185,AK,North Slope Borough,12,15,13,,6.5,-19.3,"9,685",7.6,31.8,40,20.6
2188,AK,Northwest Arctic Borough,28,37,33,,9,-26.9,"7,662",15.1,43.1,27.9,13.9
17151,IL,Pope County,18,29,28,,8.6,-9.5,"4,295",9.2,41.9,28.3,20.6
